date,scope,trade_id,in_window,buyer_id,supplier_id,mtm_inr,cum_pnl_inr,cash_balance_inr,mcx_im_inr,lme_delta_inr_per_usd_t,lme_delta_mt,lme_delta_usd,lme_delta_physical_mt,lme_delta_mcx_mt,hedge_ratio_lme_frac,mcx_lots_open,mcx_basis_delta_inr_per_inr_kg,fx_delta_usd,fx_delta_physical_usd,fx_delta_forwards_usd,fx_delta_mcx_usd,hedge_ratio_fx_frac,customs_fx_delta_usd,freight_delta_inr_per_usd_t_jea_nsa,freight_delta_inr_per_usd_t_usec_mun,freight_open_mt_jea_nsa,freight_open_mt_usec_mun,freight_open_boxes,grade_delta_inr_per_0p01_zorba,grade_delta_inr_per_0p01_taint_tabor,grade_delta_inr_per_0p01_tense,grade_exposure_mt_zorba,grade_exposure_mt_taint_tabor,grade_exposure_mt_tense,spread_delta_inr_per_usd_t,inr_rate_delta_inr_per_bp,usd_rate_delta_inr_per_bp,wc_rate_delta_inr_per_bp,lme_fx_cross_inr,phys_purchased_mt,phys_sold_mt,unsold_mt,purchase_priced_frac,sale_priced_frac,buyer_receivable_inr,buyer_presettlement_inr,supplier_exposure_inr,days_past_due
2022-03-08,book,BOOK,True,BOOK,BOOK,1143200.85,1143200.85,0.0,0.0,140033.59,1817.4143,6361858.75,1817.4143,0.0,-0.0,0,0.0,5936624.17,21651.31,5914972.86,0.0,,843.13,0.0,-200914.81,0.0,2520.0,120,7041231.31,0.0,0.0,2520.0,0.0,0.0,-140033.59,3669.95,-3730.4,0.0,17.69,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-08,trade,T01,True,,SUP_USEC_01,1143200.85,1143200.85,0.0,0.0,140033.59,1817.4143,6361858.75,1817.4143,0.0,-0.0,0,0.0,5936624.17,21651.31,5914972.86,0.0,,843.13,0.0,-200914.81,0.0,2520.0,120,7041231.31,0.0,0.0,2520.0,0.0,0.0,-140033.59,3669.95,-3730.4,0.0,17.69,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-09,book,BOOK,True,BOOK,BOOK,-649508.4,-931945.64,-44443184.77,44160747.52,13668.6,178.4494,630283.2,1811.2647,-1632.8153,0.901478,-300,-1500450.0,181024.41,33809.82,5914318.28,-5767103.69,,1160.49,0.0,-199735.97,0.0,2520.0,120,7038514.77,0.0,0.0,2520.0,0.0,0.0,-138736.54,-2478.17,-3721.98,-12.18,1.3,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-09,trade,T01,True,,SUP_USEC_01,-649508.4,-931945.64,-44443184.77,44160747.52,13668.6,178.4494,630283.2,1811.2647,-1632.8153,0.901478,-300,-1500450.0,181024.41,33809.82,5914318.28,-5767103.69,,1160.49,0.0,-199735.97,0.0,2520.0,120,7038514.77,0.0,0.0,2520.0,0.0,0.0,-138736.54,-2478.17,-3721.98,-12.18,1.3,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-10,book,BOOK,True,BOOK,BOOK,-4270111.93,-3371060.64,-43130823.23,44041441.93,13195.47,172.8681,611088.62,1805.0255,-1632.1575,0.90423,-300,-1500000.0,152304.54,8210.17,5913771.02,-5769676.64,,442.55,0.0,-199048.28,0.0,2520.0,120,7006974.78,0.0,0.0,2520.0,0.0,0.0,-137782.29,-2361.94,-3700.08,-11.82,1.24,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-10,trade,T01,True,,SUP_USEC_01,-4270111.93,-3371060.64,-43130823.23,44041441.93,13195.47,172.8681,611088.62,1805.0255,-1632.1575,0.90423,-300,-1500000.0,152304.54,8210.17,5913771.02,-5769676.64,,442.55,0.0,-199048.28,0.0,2520.0,120,7006974.78,0.0,0.0,2520.0,0.0,0.0,-137782.29,-2361.94,-3700.08,-11.82,1.24,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-11,book,BOOK,True,BOOK,BOOK,29257882.66,37465440.6,-45721610.24,53951961.42,12166.4,159.2009,552745.59,2192.6652,-2033.4643,0.927394,-374,-770911.0,209612.86,1356625.31,5913175.46,-7060187.91,-4.358739,-75256.32,0.0,-199253.16,0.0,2520.0,120,6953290.68,0.0,0.0,2520.0,0.0,0.0,-93348.12,-5138.53,-1774.01,-12.53,1.32,0.0,1200.0,2520.0,0.5,0.0,0.0,255041269.42,0.0,0
2022-03-11,trade,T01,True,,SUP_USEC_01,-9733678.6,-1457183.6,-35003286.74,43302574.98,12728.71,166.5589,578292.36,1798.5482,-1631.9893,0.907393,-300,-1500000.0,179415.36,-67493.19,5913175.46,-5666266.91,,-1649.07,0.0,-199253.16,0.0,2520.0,120,6953290.68,0.0,0.0,2520.0,0.0,0.0,-137448.11,-2183.11,-3660.15,-9.59,1.18,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-11,trade,T02,True,BUY_JNPT_01,SUP_JEA_01,38991561.26,38922624.2,-10718323.51,10649386.45,-562.31,-7.3579,-25546.78,394.117,-401.4749,1.018669,-74,729089.0,30197.49,1424118.5,0.0,-1393921.0,-0.0,-73607.24,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,44099.99,-2955.42,1886.14,-2.94,0.14,0.0,1200.0,0.0,0.0,0.0,0.0,255041269.42,0.0,0
2022-03-14,book,BOOK,True,BOOK,BOOK,11609135.01,29136780.32,-35324086.29,52910225.26,10757.19,140.471,477461.03,2173.186,-2032.715,0.935362,-374,-770800.0,105540.23,1103462.44,5911276.0,-6909198.2,-5.357025,-79486.56,0.0,-199580.3,0.0,2520.0,120,6789750.97,0.0,0.0,2520.0,0.0,0.0,-94074.84,-4726.6,-1872.98,-9.68,1.14,0.0,1200.0,2520.0,0.5,0.0,0.0,248914300.88,0.0,0
2022-03-14,trade,T01,True,,SUP_USEC_01,-26104109.74,-10555482.03,-26867718.91,42466471.19,11307.6,147.6586,501891.42,1779.1434,-1631.4849,0.917006,-300,-1500000.0,66620.98,-299237.95,5911276.0,-5545417.07,19.754433,-7670.4,0.0,-199580.3,0.0,2520.0,120,6789750.97,0.0,0.0,2520.0,0.0,0.0,-136245.74,-1843.35,-3540.61,-7.36,1.0,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
